"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"T-shirt/top",0.115822561028154,9.99999999980998e-13,0.000303022959533611,0.00222229115767112,9.99999999980998e-13,9.99999999980998e-13,0.0198064526928407,0.00312389929473089,0.00797507599681108,0.0044443755108622,9.99999999980998e-13,0.00143757439523208,0.535085155900952,0.00513047451674378,0.185585954279856,0.0201935473083595,0.0397421507093574,0.0400000000002001,0.00202995284254858,0.017097511402148
"Trouser",0.0996198917894834,9.99999999980998e-13,9.99999999980998e-13,0.0119633957275799,9.99999999980998e-13,9.99999999980998e-13,0.00362778263697976,9.99999999980998e-13,9.99999999980998e-13,0.0213699376225233,9.99999999980998e-13,9.99999999980998e-13,0.000855004105459835,9.99999999980998e-13,0.000464020972066192,0.00970555068265047,0.0611044445933364,0.0133333333340667,9.99999999980998e-13,0.777956638525854
"Pullover",0.00266765007807434,9.99999999980998e-13,9.99999999980998e-13,0.188271887625448,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.0218206832141282,0.118398016621566,9.99999999980998e-13,0.000657253765145673,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.00193935621484117,0.639996762402892,0.0241887296902861,0.00205966037661778
"Dress",0.36612271387183,9.99999999980998e-13,9.99999999980998e-13,0.0279000476654701,9.99999999980998e-13,9.99999999980998e-13,0.0770170516747052,9.99999999980998e-13,0.00267762002962917,0.0361870454247996,9.99999999980998e-13,0.00123729449895804,0.0276214280400468,9.99999999980998e-13,0.169840416124369,0.109649614959542,0.0726069728050758,0.00666666666753337,0.0027517521409461,0.099721376090095
"Coat",0.0248519664736288,9.99999999980998e-13,0.00132222193376306,0.230427068785356,9.99999999980998e-13,9.99999999980998e-13,0.068715133450158,9.99999999980998e-13,0.0107933589475283,0.162902216231462,9.99999999980998e-13,0.000841463865220731,0.0012168659777548,0.00509697384946747,0.0272643756681263,0.0912889148592899,3.18664982156518e-08,0.3599999999938,0.0152793147416871,9.33512586083209e-08
"Sandal",9.99999999980998e-13,9.99999999980998e-13,0.202255605235432,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.217227769836927,0.0939399873629242,9.99999999980998e-13,9.99999999980998e-13,0.435825484250512,9.99999999980998e-13,0.00761306718456485,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.0431380861156388,9.99999999980998e-13
"Shirt",0.0392544795390701,9.99999999980998e-13,0.00762017084940352,0.119221567384441,9.99999999980998e-13,9.99999999980998e-13,0.031782129642883,9.99999999980998e-13,0.0225790611977183,0.0749801831557704,9.99999999980998e-13,0.00249431564322609,0.111710776415592,0.0195488059729671,0.0740228363342628,0.0478610820090723,0.0200559923657431,0.386155033559657,0.0344243130066137,0.0082892529185806
"Sneaker",9.99999999980998e-13,9.99999999980998e-13,0.133154241963921,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.0046008334042231,0.00809608344361827,9.99999999980998e-13,9.99999999980998e-13,0.842420647664506,9.99999999980998e-13,0.00188728197727848,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.00984091153245232,9.99999999980998e-13
"Bag",0.00350544832291144,9.99999999980998e-13,0.151896104071694,0.00959113115149305,9.99999999980998e-13,9.99999999980998e-13,0.0460113225356212,9.99999999980998e-13,0.273729246183121,0.00374220218357361,9.99999999980998e-13,0.113738367483947,9.99999999980998e-13,0.175752969702704,9.99999999980998e-13,0.0473220107978456,0.00314692290517833,9.99999999980998e-13,0.171549979212467,1.4295441443519e-05
"Ankle boot",9.99999999980998e-13,9.99999999980998e-13,0.484774010833918,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.343405494256146,0.117092441977851,9.99999999980998e-13,9.99999999980998e-13,0.045575565396926,9.99999999980998e-13,0.00656747631427034,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,9.99999999980998e-13,0.00258501120688913,9.99999999980998e-13
