"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"T-shirt/top",0.177684284392839,0.1,0.000308789486518022,0.00376916722706995,0.1,0.1,0.0802010969690554,0.00549635847886382,0.0142742530946139,0.0105310971785319,0.1,0.000995392990660211,0.790973650163096,0.0231522690750342,0.405938420662539,0.0619394597678022,0.200115694332324,0.0276596136808636,0.00663843089778111,0.0188893801383683
"Trouser",0.152827644517408,0.1,1.01903000019345e-12,0.0202907881558227,0.1,0.1,0.0146897655811047,1.7594544382497e-12,1.78985793991811e-12,0.0506367855848208,0.1,6.92411463325068e-13,0.0012638842822341,4.51269546297028e-12,0.00101496873125863,0.029769735690942,0.307682350812168,0.00921987122741551,3.27023897231056e-12,0.859488748428956
"Pullover",0.00409246256450781,0.1,1.01903000019345e-12,0.319322797180229,0.1,0.1,4.04924083132369e-12,1.7594544382497e-12,0.0390559231059873,0.28054808054355,0.1,0.000455090041309074,1.47822013267451e-12,4.51269546297028e-12,2.1873337464035e-12,3.06728970501306e-12,0.00976534003730378,0.442551580124472,0.0791029265253623,0.00227551875210214
"Dress",0.561671679824687,0.1,1.01903000019345e-12,0.04732050745528,0.1,0.1,0.311860590355308,1.7594544382497e-12,0.0047925594702066,0.0857464206256016,0.1,0.000856716894603873,0.0408305510227933,4.51269546297028e-12,0.371497673699104,0.336327135130442,0.365601622381118,0.00460993561405352,0.00899888709363195,0.110172465254232
"Coat",0.038125593489063,0.1,0.00134738381744395,0.390821046512074,0.1,0.1,0.278244124101523,1.7594544382497e-12,0.0193185792109869,0.386002277606586,0.1,0.000582639226263726,0.00179879578711798,0.023001090765807,0.0596362889746485,0.280009548735035,1.60459016498658e-07,0.24893652312224,0.0499670105394141,1.03134741002492e-07
"Sandal",1.53410771452612e-12,0.1,0.206104529446105,1.69607263836133e-12,0.1,0.1,4.04924083132369e-12,0.382202363757929,0.168139232260532,2.36953361672375e-12,0.1,0.301770561309988,1.47822013267451e-12,0.0343554537437265,2.1873337464035e-12,3.06728970501306e-12,5.03535140289738e-12,6.91490342004991e-13,0.141071850408932,1.10480289755129e-12
"Shirt",0.0602205998917395,0.1,0.00776518270228932,0.202208438347144,0.1,0.1,0.12869349705883,1.7594544382497e-12,0.040413311961401,0.177668064579078,0.1,0.0017270927445536,0.165133118737368,0.088217808022371,0.161912647921513,0.146803804120003,0.100988969297263,0.26702247622819,0.112575729991385,0.00915799064315734
"Sneaker",1.53410771452612e-12,0.1,0.135688167216831,1.69607263836133e-12,0.1,0.1,4.04924083132369e-12,0.00809495675286163,0.0144908392340751,2.36953361672375e-12,0.1,0.583301713395716,1.47822013267451e-12,0.00851672881637198,2.1873337464035e-12,3.06728970501306e-12,5.03535140289738e-12,6.91490342004991e-13,0.0321821324170976,1.10480289755129e-12
"Bag",0.00537773531515328,0.1,0.154786686964503,0.0162672551172915,0.1,0.1,0.186310925917981,1.7594544382497e-12,0.489936464677968,0.0088672738747232,0.1,0.0787537494672606,1.47822013267451e-12,0.793119628996015,2.1873337464035e-12,0.145150316543507,0.0158458626657007,6.91490342004991e-13,0.561009427730337,1.57936451288747e-05
"Ankle boot",1.53410771452612e-12,0.1,0.493999260363252,1.69607263836133e-12,0.1,0.1,4.04924083132369e-12,0.604206320999789,0.20957883698244,2.36953361672375e-12,0.1,0.0315570439289525,1.47822013267451e-12,0.0296370205671357,2.1873337464035e-12,3.06728970501306e-12,5.03535140289738e-12,6.91490342004991e-13,0.00845360439278903,1.10480289755129e-12
