"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12"
"T-shirt/top",0,0,0.0662831997811476,0,0.00334866759919239,0.00854700854700856,0.00692796201060167,0.0065900757358227,0.560242019702456,0.999999937896716,0.0698103456915295,0.0276596152436516
"Trouser",0,1,0.547065021747397,0,3.78845931567423e-162,0,0,0.0329503786943622,0.00492019865703972,3.67530474206421e-184,0.0232701152035876,0.00921987174788387
"Pullover",0,0,0.0055235999817623,0,0.0234406731947611,0,0,0.303146685400934,7.71830830052986e-30,1.09346858679715e-258,1.8590727087817e-76,0.442551604325044
"Dress",0,1.13873737031873e-286,0.342462758619617,0,0.00334866759919239,1.35932989864886e-233,1.24083387299849e-67,0.0633519041009831,0.238049440546145,1.08673449227953e-37,0.325781613173567,0.00460993587394194
"Coat",0,0,2.19997739605105e-07,0,0.0133946703967695,0,0.00692796201060167,0.388810468823046,0.039357511326813,3.47003133774712e-131,0.279248444212404,0.248936537192865
"Sandal",0.244364230288315,0,0,3.5919337254694e-05,0.231657038081014,0.393162393162392,0.235508376914827,1.91112484067089e-276,3.89652765464751e-230,5.77130926613952e-317,9.21726075518254e-308,9.13798772019935e-102
"Shirt",0,0,0.0331415998905738,0,0.0267893407935367,5.86213337369837e-236,0.0346398100530084,0.191970335773207,0.157430829767547,6.2103284158267e-08,0.138998675105344,0.267022435616614
"Sneaker",0.755635749542363,0,0,0.120480717014528,0.420081531830726,0.00854700854700856,0.10487719539162,0,0,0,0,0
"Bag",0,0,0.0055235999817623,0,0.254498737538621,1.22301650581412e-120,0.394893834604295,0.0131801514716454,5.25155232653477e-124,6.22188490139648e-309,0.162890806613569,5.35648777962943e-165
"Ankle boot",2.01693213208683e-08,0,0,0.879483363648217,0.0234406729661868,0.589743589743591,0.216224859015046,0,0,0,0,3.88134793592056e-314
