"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12"
"T-shirt/top",0,0,0.08,0,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.759179750416406,0.0541535829169276,0.04,0.04
"Trouser",0,0.273056740332352,0.660275935445102,0,7.5422222987792e-162,0,0,0.0333333333487593,0.00666732422254648,1.99030932454826e-185,0.0133333333179074,0.0133333333333333
"Pullover",0,0,0.00666666666666667,0,0.0466666666674918,0,0,0.306669905428726,1.04590215713294e-29,5.92152454596366e-260,1.0652132948869e-76,0.639996761237115
"Dress",0,3.10939914433866e-287,0.413332801977398,0,0.00666666666666667,1.06027732094611e-233,1.19403452376488e-67,0.0640881902227732,0.322579007830524,5.88505700911587e-39,0.186666666635972,0.00666666666666667
"Coat",0,0,2.65524585815397e-07,0,0.0266666666666667,0,0.00666666666666667,0.393329287258949,0.0533330678087475,1.87914641443142e-132,0.160004046074384,0.36
"Sandal",0.00550328915453904,0,0,1.16505674191058e-05,0.461192461815527,0.306666666666666,0.226625931795849,1.93333624405588e-276,5.28015534057406e-230,3.12537034377547e-318,5.28131506233233e-308,1.3214916606328e-101
"Shirt",0,0,0.04,0,0.0533333333333285,4.57246403148472e-236,0.0333333333333333,0.194201446203603,0.213333334251241,3.36311555693875e-09,0.0796435965061891,0.386154953009189
"Sneaker",0.0170175562124295,0,0,0.0390783578863648,0.836315777120904,0.00666666666666667,0.100921642113635,0,0,0,0,0
"Bag",0,0,0.00666666666666667,0,0.506666666666667,9.53952874535009e-121,0.38,0.0133333333333333,7.11633908980049e-124,3.36937380832271e-310,0.0933333333333333,7.74629398485049e-165
"Ankle boot",4.54230175785492e-10,0,0,0.285263621361123,0.0466666662124365,0.46,0.20806971197221,0,0,0,0,5.61301797107496e-314
