"from","to","weight"
9,12,0.0307942714122756
4,10,0.0245897153068318
13,15,0.021319284116249
12,19,0.0188936117241706
1,20,0.018596101765779
3,14,0.0175145020763611
8,9,0.0155380038596412
7,16,0.0141002399200282
1,13,0.0124955162176805
17,20,0.0114654487999034
9,19,0.0107897397393039
1,15,0.00858527676207216
1,17,0.0062779132004844
3,19,0.00549839716660947
14,19,0.00274165761700848
12,18,2.50478127222135e-13
18,20,2.35944740806965e-13
3,18,2.35188785544476e-13
9,18,2.25205724677495e-13
13,18,2.14874669074473e-13
1,18,2.05784230765895e-13
4,18,2.03616398398148e-13
8,18,2.01194582639728e-13
12,20,1.9719252519012e-13
3,12,1.9643656992763e-13
18,19,1.90019247136494e-13
15,18,1.89167542866134e-13
10,18,1.86776160684169e-13
3,20,1.8190318351246e-13
16,18,1.76849059650954e-13
12,13,1.76122453457627e-13
14,18,1.73604561283786e-13
9,20,1.71920122645479e-13
3,9,1.7116416738299e-13
7,18,1.69679380773571e-13
1,12,1.67032015149049e-13
17,18,1.66229188317446e-13
4,12,1.64864182781302e-13
8,12,1.62442367022882e-13
13,20,1.61589067042457e-13
