"factor","top_class","usage","weighted_degree","role"
1,"Dress",0.0611690593480663,0.0459548079476447,"hub"
2,"T-shirt/top",9.99999999981e-13,9.9999999998e-13,"leaf"
3,"Ankle boot",0.0905736141272063,0.0230128992453454,"middle"
4,"Coat",0.0590012269802783,0.0245897153087927,"middle"
5,"T-shirt/top",9.99999999981e-13,9.9999999998e-13,"leaf"
6,"T-shirt/top",9.99999999981e-13,9.9999999998e-13,"leaf"
7,"Dress",0.0250642093550568,0.0141002399214221,"middle"
8,"Ankle boot",0.0565794112218124,0.0155380038615224,"middle"
9,"Bag",0.0805905532600356,0.0571220150132217,"hub"
10,"Coat",0.0421609892659796,0.0245897153084895,"middle"
11,"T-shirt/top",9.99999999981e-13,9.9999999998e-13,"leaf"
12,"Sneaker",0.105862955805156,0.049687883139014,"hub"
13,"T-shirt/top",0.0702594976568171,0.0338148003359479,"hub"
14,"Bag",0.0289893898653459,0.0202561596946975,"middle"
15,"T-shirt/top",0.0445523714479896,0.0299045608799025,"middle"
16,"Dress",0.0322338882325758,0.0141002399215511,"middle"
17,"Dress",0.0216140168988664,0.0177433620015812,"middle"
18,"Pullover",0.144615171422738,3.60307308552183e-12,"leaf"
19,"Bag",0.0454040757183656,0.0379234062484221,"hub"
20,"Trouser",0.0913295693897099,0.0300615505680609,"middle"
