"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12"
"S1",0,0.632059699351108,0.606804022676887,0.233604429029106,0.280456273411808,0.441752089156913,0.287382275680276,0.497187691305985,0.563779202164353,0.57704240724457,0.51021178333597,0.408886089303261
"S2",0.632059699351108,0,0.14401600377551,0.61216673652979,0.609653294640882,0.55294528875018,0.566076597277382,0.389547541652257,0.271528360973161,0.32917420731028,0.302616972237042,0.324575922860168
"S3",0.606804022676887,0.14401600377551,0,0.580553484525945,0.557453402585998,0.507581179313837,0.540810996409764,0.347493483408766,0.22205482608249,0.318591026894857,0.270384356544746,0.331385910686788
"S4",0.233604429029106,0.61216673652979,0.580553484525945,0,0.336522885665596,0.217892830060476,0.161554945396492,0.440036772480768,0.49515476971713,0.478944270756866,0.473624193908439,0.319333956376473
"S5",0.280456273411808,0.609653294640882,0.557453402585998,0.336522885665596,0,0.278618074273895,0.295192681442704,0.460142296887213,0.493286554603995,0.502355220857446,0.420143735236509,0.356561458873272
"S6",0.441752089156913,0.55294528875018,0.507581179313837,0.217892830060476,0.278618074273895,0,0.311502118955612,0.435354660158224,0.425399416719029,0.403385405680147,0.41361190523849,0.309161596948938
"S7",0.287382275680276,0.566076597277382,0.540810996409764,0.161554945396492,0.295192681442704,0.311502118955612,0,0.399350204401016,0.433108039632013,0.422271069129696,0.438358572201306,0.280648461325187
"S8",0.497187691305985,0.389547541652257,0.347493483408766,0.440036772480768,0.460142296887213,0.435354660158224,0.399350204401016,0,0.285008775328265,0.29066032488879,0.215908911547992,0.172600554673585
"S9",0.563779202164353,0.271528360973161,0.22205482608249,0.49515476971713,0.493286554603995,0.425399416719029,0.433108039632013,0.285008775328265,0,0.125302988413394,0.221610279612707,0.195119669362699
"S10",0.57704240724457,0.32917420731028,0.318591026894857,0.478944270756866,0.502355220857446,0.403385405680147,0.422271069129696,0.29066032488879,0.125302988413394,0,0.251185569700047,0.158053738046558
"S11",0.51021178333597,0.302616972237042,0.270384356544746,0.473624193908439,0.420143735236509,0.41361190523849,0.438358572201306,0.215908911547992,0.221610279612707,0.251185569700047,0,0.242434647106255
"S12",0.408886089303261,0.324575922860168,0.331385910686788,0.319333956376473,0.356561458873272,0.309161596948938,0.280648461325187,0.172600554673585,0.195119669362699,0.158053738046558,0.242434647106255,0
